id,question,choice1,choice2,choice3,choice4,correct_answer_index,explanation
216,"Heisuke has ___ played baseball before.",never,ever,already,yet,1,"現在完了の経験。「never」は「一度も～ない」を表します。"
217,"The coffee is ___ hot to drink right now.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」で「～すぎて…できない」。"
218,"Aoi ___ lived in this city since she was born.",has,have,had,was,1,"現在完了の継続。「since」があるので現在完了を使います。"
219,"Sakamoto feels ___ after his morning exercise.",energetic,energy,energize,energetically,1,"形容詞。「feel」の後には形容詞が来ます。"
220,"If I ___ free time, I would travel more.",had,have,has,having,1,"仮定法過去。「if + 過去形, would + 動詞原形」。"
221,"Shin has ___ eating lunch at that restaurant.",stopped,stop,stopping,stops,1,"現在完了。「has stopped」は動作の完了を表します。"
222,"This problem is ___ difficult than I expected.",more,most,much,very,1,"比較級。2音節以上の形容詞は「more + 形容詞」。"
223,"Lu wants ___ cooking skills this summer.",to practice,practicing,practice,practiced,1,"不定詞。「want to + 動詞原形」の形。"
224,"The museum has ___ closed for renovation.",been,be,being,was,1,"現在完了の受動態。「has been + 過去分詞」。"
225,"Heisuke is ___ person I know.",the kindest,kinder,kind,most kind,1,"最上級。「the + 形容詞est」の形。"
226,"If you ___ early, you won't be late.",leave,left,leaving,leaves,1,"条件文。「if + 現在形」の部分。"
227,"Aoi has ___ started her new job.",just,yet,never,still,1,"現在完了の副詞。「just」は「ちょうど～したところ」。"
228,"This bag is ___ than that one.",heavier,heaviest,heavy,more heavy,1,"比較級。「heavy」の比較級は「heavier」。"
229,"Sakamoto decided ___ a new hobby.",to try,trying,try,tried,1,"不定詞。「decide to + 動詞原形」。"
230,"I ___ finished reading this novel yet.",haven't,hasn't,didn't,don't,1,"現在完了の否定。「yet」があるので現在完了の否定形。"
231,"The train is ___ crowded during rush hour.",extremely,extreme,extremes,extremely,1,"副詞。形容詞を修飾するので副詞「extremely」。"
232,"Lu has ___ to visit her grandmother.",promised,promise,promising,promises,1,"現在完了。「has promised」は約束の完了。"
233,"If it ___ sunny, we'll go to the beach.",is,was,will be,would be,1,"条件文。「if + 現在形」の部分。"
234,"Heisuke wants ___ his English pronunciation.",to improve,improving,improve,improved,1,"不定詞。「want to + 動詞原形」。"
235,"This is ___ restaurant in the neighborhood.",the most popular,more popular,popular,most popular,1,"最上級。「the most + 形容詞」の形。"
236,"Shin has ___ been to Australia.",never,ever,already,yet,1,"現在完了の経験。「never」は否定の意味。"
237,"The water is ___ cold to swim in.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
238,"Aoi ___ working here for five years.",has been,have been,was,were,1,"現在完了進行形。継続している状態。"
239,"Sakamoto feels ___ about his performance.",confident,confidence,confidently,confide,1,"形容詞。「feel」の後には形容詞。"
240,"If I ___ you, I would accept the offer.",were,was,am,are,1,"仮定法過去。「if I were you」は慣用表現。"
241,"Lu has ___ her apartment recently.",decorated,decorate,decorating,decorates,1,"現在完了。「recently」があるので現在完了。"
242,"This exercise is ___ than the previous one.",easier,easiest,easy,more easy,1,"比較級。「easy」の比較級は「easier」。"
243,"Heisuke hopes ___ his dream job someday.",to find,finding,find,found,1,"不定詞。「hope to + 動詞原形」。"
244,"The library has ___ open since 8 AM.",been,be,being,was,1,"現在完了。「since」があるので現在完了の継続。"
245,"Shin is ___ runner in the track team.",the fastest,faster,fast,most fast,1,"最上級。「fast」の最上級は「the fastest」。"
246,"If you ___ harder, you'll succeed.",work,worked,working,works,1,"条件文。「if + 現在形」の部分。"
247,"Aoi has ___ completed her project.",successfully,success,succeed,successful,1,"副詞。動詞を修飾するので副詞「successfully」。"
248,"This movie is ___ boring than I thought.",more,most,much,very,1,"比較級。2音節以上の形容詞は「more + 形容詞」。"
249,"Sakamoto wants ___ his cooking skills.",to develop,developing,develop,developed,1,"不定詞。「want to + 動詞原形」。"
250,"I ___ eaten at that restaurant before.",have,has,had,was,1,"現在完了の経験。「I」には「have」を使用。"
251,"The weather is ___ pleasant today.",remarkably,remarkable,remark,remarkably,1,"副詞。形容詞を修飾するので副詞形。"
252,"Lu has ___ learned to drive a car.",recently,recent,recentness,recents,1,"副詞。現在完了とよく使われる副詞。"
253,"If she ___ time, she will help us.",has,have,had,having,1,"条件文。三人称単数なので「has」。"
254,"Heisuke decided ___ his room this weekend.",to clean,cleaning,clean,cleaned,1,"不定詞。「decide to + 動詞原形」。"
255,"This is ___ cake I've ever tasted.",the most delicious,more delicious,delicious,most delicious,1,"最上級。「the most + 形容詞」の形。"
256,"Shin has ___ finished his training.",finally,final,finalize,finals,1,"副詞。「finally」は「ついに」の意味。"
257,"The music is ___ loud for me.",too,very,so,quite,1,"「too + 形容詞」で「～すぎる」。"
258,"Aoi ___ been studying French since April.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
259,"Sakamoto looks ___ in his new suit.",handsome,handsomely,handsomeness,handsome,1,"形容詞。「look」の後には形容詞。"
260,"If it ___ tomorrow, we'll stay home.",rains,rain,rained,raining,1,"条件文。三人称単数なので「rains」。"
261,"Lu has ___ her homework assignment.",completed,complete,completing,completes,1,"現在完了。動作の完了を表す。"
262,"This book is ___ interesting than that magazine.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
263,"Heisuke wants ___ his guitar skills.",to improve,improving,improve,improved,1,"不定詞。「want to + 動詞原形」。"
264,"The store has ___ closed for the day.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
265,"Shin is ___ athlete in our school.",the most talented,more talented,talented,most talented,1,"最上級。「the most + 形容詞」。"
266,"If you ___ me, I'll be grateful.",help,helped,helping,helps,1,"条件文。「if + 現在形」の部分。"
267,"Aoi has ___ moved to a new apartment.",recently,recent,recentness,recents,1,"副詞。現在完了でよく使われる。"
268,"This problem is ___ complex than expected.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
269,"Sakamoto hopes ___ his family next week.",to see,seeing,see,saw,1,"不定詞。「hope to + 動詞原形」。"
270,"I ___ visited that museum yet.",haven't,hasn't,didn't,don't,1,"現在完了の否定。「yet」とともに使用。"
271,"The performance was ___ amazing.",absolutely,absolute,absolutes,absolutely,1,"副詞。形容詞を修飾するので副詞形。"
272,"Lu has ___ started her new course.",just,yet,never,still,1,"現在完了。「just」は「ちょうど～した」。"
273,"If the weather ___ nice, we'll have a picnic.",is,was,will be,would be,1,"条件文。「if + 現在形」。"
274,"Heisuke decided ___ photography as a hobby.",to try,trying,try,tried,1,"不定詞。「decide to + 動詞原形」。"
275,"This is ___ building in the city.",the tallest,taller,tall,most tall,1,"最上級。「tall」の最上級は「the tallest」。"
276,"Shin has ___ been to that concert hall.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
277,"The soup is ___ hot to eat now.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
278,"Aoi ___ been working on this project.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
279,"Sakamoto feels ___ after his vacation.",refreshed,refresh,refreshing,refreshes,1,"形容詞。「feel」の後には形容詞。"
280,"If I ___ more money, I would travel.",had,have,has,having,1,"仮定法過去。「if + 過去形」。"
281,"Lu has ___ her driver's license.",obtained,obtain,obtaining,obtains,1,"現在完了。動作の完了。"
282,"This exam is ___ difficult than last year's.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
283,"Heisuke wants ___ his communication skills.",to enhance,enhancing,enhance,enhanced,1,"不定詞。「want to + 動詞原形」。"
284,"The meeting has ___ started without us.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
285,"Shin is ___ swimmer on the team.",the strongest,stronger,strong,most strong,1,"最上級。「strong」の最上級は「the strongest」。"
286,"If you ___ early, you'll catch the train.",leave,left,leaving,leaves,1,"条件文。「if + 現在形」。"
287,"Aoi has ___ finished her presentation.",successfully,success,succeed,successful,1,"副詞。動詞を修飾するので副詞形。"
288,"This restaurant is ___ expensive than others.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
289,"Sakamoto decided ___ a new skill.",to learn,learning,learn,learned,1,"不定詞。「decide to + 動詞原形」。"
290,"I ___ seen such beautiful flowers before.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
291,"The presentation was ___ impressive.",truly,true,truth,truly,1,"副詞。形容詞を修飾するので副詞形。"
292,"Lu has ___ completed her training program.",recently,recent,recentness,recents,1,"副詞。現在完了とよく使われる。"
293,"If she ___ ready, we can go.",is,was,will be,would be,1,"条件文。「if + 現在形」。"
294,"Heisuke hopes ___ his language skills.",to improve,improving,improve,improved,1,"不定詞。「hope to + 動詞原形」。"
295,"This is ___ place I've ever visited.",the most beautiful,more beautiful,beautiful,most beautiful,1,"最上級。「the most + 形容詞」。"
296,"Shin has ___ participated in such an event.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
297,"The coffee is ___ bitter for my taste.",too,very,so,quite,1,"「too + 形容詞」で「～すぎる」。"
298,"Aoi ___ been teaching here for two years.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
299,"Sakamoto appears ___ about the news.",excited,excite,exciting,excitedly,1,"形容詞。「appear」の後には形容詞。"
300,"If it ___ colder, we'll need jackets.",gets,get,got,getting,1,"条件文。三人称単数なので「gets」。"
301,"Lu has ___ her bedroom completely.",reorganized,reorganize,reorganizing,reorganizes,1,"現在完了。動作の完了。"
302,"This task is ___ challenging than expected.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
303,"Heisuke wants ___ his artistic abilities.",to develop,developing,develop,developed,1,"不定詞。「want to + 動詞原形」。"
304,"The concert has ___ begun on time.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
305,"Shin is ___ student in mathematics.",the most dedicated,more dedicated,dedicated,most dedicated,1,"最上級。「the most + 形容詞」。"
306,"If you ___ the instructions, you'll succeed.",follow,followed,following,follows,1,"条件文。「if + 現在形」。"
307,"Aoi has ___ adapted to her new environment.",quickly,quick,quickness,quicks,1,"副詞。動詞を修飾するので副詞形。"
308,"This movie is ___ entertaining than the book.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
309,"Sakamoto hopes ___ his fitness level.",to maintain,maintaining,maintain,maintained,1,"不定詞。「hope to + 動詞原形」。"
310,"I ___ experienced such kindness before.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
311,"The weather has been ___ mild lately.",unusually,unusual,unusualness,unusuals,1,"副詞。形容詞を修飾するので副詞形。"
312,"Lu has ___ mastered the new software.",finally,final,finalize,finals,1,"副詞。「finally」は「ついに」。"
313,"If the meeting ___ long, we'll be late.",runs,run,ran,running,1,"条件文。三人称単数なので「runs」。"
314,"Heisuke decided ___ volunteer work.",to do,doing,do,did,1,"不定詞。「decide to + 動詞原形」。"
315,"This is ___ restaurant in our area.",the most authentic,more authentic,authentic,most authentic,1,"最上級。「the most + 形容詞」。"
316,"Shin has ___ climbed such a high mountain.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
317,"The music is ___ quiet to hear clearly.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
318,"Aoi ___ been practicing piano daily.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
319,"Sakamoto seems ___ with his progress.",satisfied,satisfy,satisfying,satisfies,1,"形容詞。「seem」の後には形容詞。"
320,"If we ___ now, we'll arrive on time.",start,started,starting,starts,1,"条件文。「if + 現在形」。"
321,"Lu has ___ her research project.",completed,complete,completing,completes,1,"現在完了。動作の完了。"
322,"This puzzle is ___ complicated than others.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
323,"Heisuke wants ___ his technical knowledge.",to expand,expanding,expand,expanded,1,"不定詞。「want to + 動詞原形」。"
324,"The show has ___ ended for today.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
325,"Shin is ___ person I've ever met.",the most reliable,more reliable,reliable,most reliable,1,"最上級。「the most + 形容詞」。"
326,"If you ___ questions, please ask.",have,had,has,having,1,"条件文。「if + 現在形」。"
327,"Aoi has ___ adjusted to the new schedule.",gradually,gradual,gradually,graduals,1,"副詞。動詞を修飾するので副詞形。"
328,"This course is ___ intensive than expected.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
329,"Sakamoto decided ___ his savings.",to increase,increasing,increase,increased,1,"不定詞。「decide to + 動詞原形」。"
330,"I ___ heard such beautiful music before.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
331,"The presentation was ___ well-prepared.",exceptionally,exceptional,exception,exceptionally,1,"副詞。形容詞を修飾するので副詞形。"
332,"Lu has ___ finished her final exams.",just,yet,never,still,1,"現在完了。「just」は「ちょうど～した」。"
333,"If the weather ___ perfect, we'll go hiking.",is,was,will be,would be,1,"条件文。「if + 現在形」。"
334,"Heisuke hopes ___ his leadership skills.",to strengthen,strengthening,strengthen,strengthened,1,"不定詞。「hope to + 動詞原形」。"
335,"This is ___ beach I've ever seen.",the most pristine,more pristine,pristine,most pristine,1,"最上級。「the most + 形容詞」。"
336,"Shin has ___ tried such spicy food.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
337,"The room is ___ dark to read comfortably.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
338,"Aoi ___ been studying abroad for six months.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
339,"Sakamoto looks ___ after his haircut.",stylish,style,styling,styles,1,"形容詞。「look」の後には形容詞。"
340,"If they ___ help, we should assist them.",need,needed,needing,needs,1,"条件文。「if + 現在形」。"
341,"Lu has ___ her thesis successfully.",defended,defend,defending,defends,1,"現在完了。動作の完了。"
342,"This assignment is ___ demanding than usual.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
343,"Heisuke wants ___ his problem-solving skills.",to refine,refining,refine,refined,1,"不定詞。「want to + 動詞原形」。"
344,"The event has ___ concluded for tonight.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
345,"Shin is ___ teammate anyone could have.",the most supportive,more supportive,supportive,most supportive,1,"最上級。「the most + 形容詞」。"
346,"If you ___ the recipe, it will taste better.",follow,followed,following,follows,1,"条件文。「if + 現在形」。"
347,"Aoi has ___ overcome her initial nervousness.",completely,complete,completion,completes,1,"副詞。動詞を修飾するので副詞形。"
348,"This book is ___ informative than others.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
349,"Sakamoto hopes ___ his work-life balance.",to improve,improving,improve,improved,1,"不定詞。「hope to + 動詞原形」。"
350,"I ___ encountered such a difficult situation.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
351,"The design was ___ creative and innovative.",remarkably,remarkable,remark,remarkably,1,"副詞。形容詞を修飾するので副詞形。"
352,"Lu has ___ earned her professional certification.",recently,recent,recentness,recents,1,"副詞。現在完了とよく使われる。"
353,"If the plan ___ well, we'll celebrate.",works,work,worked,working,1,"条件文。三人称単数なので「works」。"
354,"Heisuke decided ___ his time more efficiently.",to manage,managing,manage,managed,1,"不定詞。「decide to + 動詞原形」。"
355,"This is ___ opportunity I've been given.",the most valuable,more valuable,valuable,most valuable,1,"最上級。「the most + 形容詞」。"
356,"Shin has ___ participated in team sports.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
357,"The explanation is ___ complex to understand.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
358,"Aoi ___ been volunteering at the hospital.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
359,"Sakamoto feels ___ about his achievements.",proud,pride,proudly,priding,1,"形容詞。「feel」の後には形容詞。"
360,"If we ___ together, we can finish faster.",work,worked,working,works,1,"条件文。「if + 現在形」。"
361,"Lu has ___ her master's degree program.",completed,complete,completing,completes,1,"現在完了。動作の完了。"
362,"This challenge is ___ difficult than anticipated.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
363,"Heisuke wants ___ his creative writing.",to pursue,pursuing,pursue,pursued,1,"不定詞。「want to + 動詞原形」。"
364,"The workshop has ___ started this morning.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
365,"Shin is ___ friend I could ask for.",the most loyal,more loyal,loyal,most loyal,1,"最上級。「the most + 形容詞」。"
366,"If you ___ patience, you'll succeed eventually.",have,had,has,having,1,"条件文。「if + 現在形」。"
367,"Aoi has ___ integrated into the new team.",smoothly,smooth,smoothness,smooths,1,"副詞。動詞を修飾するので副詞形。"
368,"This method is ___ effective than others.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
369,"Sakamoto decided ___ his daily routine.",to change,changing,change,changed,1,"不定詞。「decide to + 動詞原形」。"
370,"I ___ witnessed such dedication before.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
371,"The atmosphere was ___ welcoming and warm.",incredibly,incredible,incredibility,incredibles,1,"副詞。形容詞を修飾するので副詞形。"
372,"Lu has ___ accomplished her goals.",finally,final,finalize,finals,1,"副詞。「finally」は「ついに」。"
373,"If the situation ___ urgent, call immediately.",becomes,become,became,becoming,1,"条件文。三人称単数なので「becomes」。"
374,"Heisuke hopes ___ his analytical skills.",to sharpen,sharpening,sharpen,sharpened,1,"不定詞。「hope to + 動詞原形」。"
375,"This is ___ achievement in his career.",the most significant,more significant,significant,most significant,1,"最上級。「the most + 形容詞」。"
376,"Shin has ___ attempted such a challenge.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
377,"The water is ___ shallow to dive safely.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
378,"Aoi ___ been coordinating the project.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
379,"Sakamoto appears ___ with the results.",pleased,please,pleasing,pleases,1,"形容詞。「appear」の後には形容詞。"
380,"If you ___ consistently, you'll improve.",practice,practiced,practicing,practices,1,"条件文。「if + 現在形」。"
381,"Lu has ___ her internship program.",finished,finish,finishing,finishes,1,"現在完了。動作の完了。"
382,"This project is ___ ambitious than expected.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
383,"Heisuke wants ___ his musical talents.",to showcase,showcasing,showcase,showcased,1,"不定詞。「want to + 動詞原形」。"
384,"The session has ___ concluded successfully.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
385,"Shin is ___ athlete in our division.",the most disciplined,more disciplined,disciplined,most disciplined,1,"最上級。「the most + 形容詞」。"
386,"If the weather ___ favorable, we'll proceed.",remains,remain,remained,remaining,1,"条件文。三人称単数なので「remains」。"
387,"Aoi has ___ mastered the new technology.",thoroughly,thorough,thoroughness,thoroughly,1,"副詞。動詞を修飾するので副詞形。"
388,"This solution is ___ practical than others.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
389,"Sakamoto hopes ___ his professional network.",to expand,expanding,expand,expanded,1,"不定詞。「hope to + 動詞原形」。"
390,"I ___ experienced such hospitality before.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
391,"The performance was ___ outstanding tonight.",truly,true,truth,truly,1,"副詞。形容詞を修飾するので副詞形。"
392,"Lu has ___ submitted her final report.",just,yet,never,still,1,"現在完了。「just」は「ちょうど～した」。"
393,"If the plan ___ successful, we'll expand it.",proves,prove,proved,proving,1,"条件文。三人称単数なので「proves」。"
394,"Heisuke decided ___ his public speaking.",to practice,practicing,practice,practiced,1,"不定詞。「decide to + 動詞原形」。"
395,"This is ___ experience of my lifetime.",the most memorable,more memorable,memorable,most memorable,1,"最上級。「the most + 形容詞」。"
396,"Shin has ___ competed at this level.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
397,"The text is ___ small to read easily.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
398,"Aoi ___ been mentoring new employees.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
399,"Sakamoto looks ___ after his promotion.",confident,confidence,confidently,confide,1,"形容詞。「look」の後には形容詞。"
400,"If we ___ focused, we'll achieve our goal.",stay,stayed,staying,stays,1,"条件文。「if + 現在形」。"401,"The mission was ___ successfully by Sakamoto's team.",completed,complete,completing,completion,1,"受動態。任務は坂本のチームによって成功裏に完了されました。"
402,"A: Should we call for backup? B: ___",Yes, we do.,No, we don't.,I think so.,I think not.,3,"提案への返答。「そう思います」が自然です。"
403,"The person ___ taught Sakamoto martial arts was his grandfather.",who,which,what,where,1,"関係代名詞。人を先行詞とするときはwhoを使います。"
404,"I enjoy ___ coffee with Shin at the cafe.",drinking,to drink,drink,drank,1,"動名詞。enjoyの後は動名詞を使います。"
405,"If I had more time, I ___ help you with the assignment.",would,will,can,could,1,"仮定法。If I had...なので、wouldを使います。"
406,"A: Could you show me the way? B: ___",Yes, I do.,No problem!,I like it.,That's nice.,2,"依頼への返答。「問題ありません」が適切です。"
407,"The book ___ Sakamoto is reading looks interesting.",that,what,who,where,1,"関係代名詞。物を先行詞とするときはthatを使います。"
408,"She suggested ___ the meeting to next week.",postponing,to postpone,postpone,postponed,1,"動名詞。suggestの後は動名詞を使います。"
409,"This letter was ___ by Sakamoto yesterday.",written,wrote,writing,write,1,"受動態の過去分詞。writeの過去分詞はwrittenです。"
410,"A: What do you think about the plan? B: ___",I think it's great.,Yes, I do.,No, I don't.,That's right.,1,"意見を求められた時の返答。具体的な意見を述べます。"
411,"The cafe ___ we often visit is closed today.",where,which,who,when,1,"関係副詞。場所を示すときはwhereを使います。"
412,"I'm looking forward to ___ you again.",seeing,see,saw,seen,1,"動名詞。look forward toの後は動名詞を使います。"
413,"The window was ___ by the strong wind.",broken,broke,breaking,break,1,"受動態の過去分詞。breakの過去分詞はbrokenです。"
414,"A: Shall we start the meeting? B: ___",Yes, let's.,Yes, we do.,No, we don't.,I like it.,1,"提案への同意。「はい、そうしましょう」が適切です。"
415,"The day ___ we first met was rainy.",when,where,which,who,1,"関係副詞。時を表すときはwhenを使います。"
416,"She's interested in ___ languages.",learning,to learn,learn,learned,1,"動名詞。be interested inの後は動名詞を使います。"
417,"These cookies were ___ by Aoi this morning.",made,make,making,makes,1,"受動態の過去分詞。makeの過去分詞はmadeです。"
418,"A: How was your weekend? B: ___",It was wonderful!,Yes, it was.,No, it wasn't.,I think so.,1,"感想を聞かれた時の返答。具体的な感想を述べます。"
419,"The reason ___ he left early is unclear.",why,where,which,who,1,"関係副詞。理由を示すときはwhyを使います。"
420,"I practice ___ the piano every day.",playing,to play,play,played,1,"動名詞。practiceの後は動名詞を使います。"
421,"The car was ___ in the parking lot.",parked,park,parking,parks,1,"受動態の過去分詞。parkの過去分詞はparkedです。"
422,"A: Would you like some tea? B: ___",Yes, please.,Yes, I do.,No, I don't.,That's nice.,1,"申し出への返答。「はい、お願いします」が丁寧です。"
423,"The student ___ won the prize is very smart.",who,which,what,where,1,"関係代名詞。人を先行詞とするときはwhoを使います。"
424,"She avoided ___ about the secret mission.",talking,to talk,talk,talked,1,"動名詞。avoidの後は動名詞を使います。"
425,"The message was ___ to all team members.",sent,send,sending,sends,1,"受動態の過去分詞。sendの過去分詞はsentです。"
426,"A: Can I borrow your pen? B: ___",Of course!,Yes, I can.,No, I can't.,I like it.,1,"許可を求められた時の返答。「もちろん」が適切です。"
427,"The movie ___ we watched last night was exciting.",that,what,who,where,1,"関係代名詞。物を先行詞とするときはthatを使います。"
428,"He's good at ___ English.",speaking,to speak,speak,spoke,1,"動名詞。be good atの後は動名詞を使います。"
429,"The door was ___ by Sakamoto.",opened,open,opening,opens,1,"受動態の過去分詞。openの過去分詞はopenedです。"
430,"A: What's your favorite food? B: ___",I love sushi.,Yes, I do.,No, I don't.,That's right.,1,"好みを聞かれた時の返答。具体的な答えを述べます。"
431,"The place ___ Shin works is near the station.",where,which,who,when,1,"関係副詞。場所を示すときはwhereを使います。"
432,"She finished ___ her homework before dinner.",doing,to do,do,did,1,"動名詞。finishの後は動名詞を使います。"
433,"The cake was ___ by the whole family.",enjoyed,enjoy,enjoying,enjoys,1,"受動態の過去分詞。enjoyの過去分詞はenjoyedです。"
434,"A: Are you ready? B: ___",Yes, I am.,Yes, I do.,No, I don't.,I think so.,1,"状態を聞かれた時の返答。be動詞で答えます。"
435,"The teacher ___ taught us yesterday was kind.",who,which,what,where,1,"関係代名詞。人を先行詞とするときはwhoを使います。"
436,"I'm thinking about ___ to Tokyo next month.",going,to go,go,went,1,"動名詞。think aboutの後は動名詞を使います。"
437,"The letter was ___ by air mail.",delivered,deliver,delivering,delivers,1,"受動態の過去分詞。deliverの過去分詞はdeliveredです。"
438,"A: How do you feel today? B: ___",I feel great!,Yes, I do.,No, I don't.,That's nice.,1,"体調を聞かれた時の返答。具体的な状態を述べます。"
439,"The time ___ the store closes is 9 PM.",when,where,which,who,1,"関係副詞。時を表すときはwhenを使います。"
440,"She kept ___ even when it was difficult.",trying,to try,try,tried,1,"動名詞。keepの後は動名詞を使います。"
441,"The problem was ___ by the IT team.",solved,solve,solving,solves,1,"受動態の過去分詞。solveの過去分詞はsolvedです。"
442,"A: Could you help me? B: ___",Sure, I'd be happy to.,Yes, I do.,No, I don't.,I think so.,1,"依頼への返答。「喜んで手伝います」が丁寧です。"
443,"The bag ___ she bought yesterday is expensive.",that,what,who,where,1,"関係代名詞。物を先行詞とするときはthatを使います。"
444,"He quit ___ last year.",smoking,to smoke,smoke,smoked,1,"動名詞。quitの後は動名詞を使います。"
445,"The house was ___ last century.",built,build,building,builds,1,"受動態の過去分詞。buildの過去分詞はbuiltです。"
446,"A: What time is it? B: ___",It's three o'clock.,Yes, it is.,No, it isn't.,I think so.,1,"時刻を聞かれた時の返答。具体的な時刻を答えます。"
447,"The way ___ he solved the problem was clever.",how,where,which,who,1,"関係副詞。方法を示すときはhowを使います。"
448,"I recommend ___ this restaurant.",visiting,to visit,visit,visited,1,"動名詞。recommendの後は動名詞を使います。"
449,"The email was ___ this morning.",received,receive,receiving,receives,1,"受動態の過去分詞。receiveの過去分詞はreceivedです。"
450,"A: Do you like the weather? B: ___",Yes, it's beautiful.,Yes, I do.,No, I don't.,That's right.,1,"天気についての意見を求められた時の返答。"
451,"The girl ___ is singing is Aoi.",who,which,what,where,1,"関係代名詞。人を先行詞とするときはwhoを使います。"
452,"She's afraid of ___ alone at night.",walking,to walk,walk,walked,1,"動名詞。be afraid ofの後は動名詞を使います。"
453,"The pizza was ___ in just 15 minutes.",prepared,prepare,preparing,prepares,1,"受動態の過去分詞。prepareの過去分詞はpreparedです。"
454,"A: How about going to the movies? B: ___",That sounds great!,Yes, I do.,No, I don't.,I think so.,1,"提案への返答。「それは良いですね」が適切です。"
455,"The shop ___ sells books is over there.",that,what,who,where,1,"関係代名詞。物（店）を先行詞とするときはthatを使います。"
456,"I'm tired of ___ the same thing every day.",doing,to do,do,did,1,"動名詞。be tired ofの後は動名詞を使います。"
457,"The song was ___ by a famous singer.",sung,sing,singing,sings,1,"受動態の過去分詞。singの過去分詞はsungです。"
458,"A: Are you busy tomorrow? B: ___",No, I'm free.,Yes, I do.,No, I don't.,That's nice.,1,"予定を聞かれた時の返答。「いえ、暇です」が適切です。"
459,"The reason ___ she was late is traffic.",why,where,which,who,1,"関係副詞。理由を示すときはwhyを使います。"
460,"He enjoys ___ soccer on weekends.",playing,to play,play,played,1,"動名詞。enjoyの後は動名詞を使います。"
461,"The report was ___ by the manager.",reviewed,review,reviewing,reviews,1,"受動態の過去分詞。reviewの過去分詞はreviewedです。"
462,"A: What's your hobby? B: ___",I like reading.,Yes, I do.,No, I don't.,That's right.,1,"趣味を聞かれた時の返答。具体的な趣味を述べます。"
463,"The computer ___ he uses is very fast.",that,what,who,where,1,"関係代名詞。物を先行詞とするときはthatを使います。"
464,"She's planning to ___ abroad next year.",study,studying,studied,studies,1,"不定詞。plan toの後は不定詞を使います。"
465,"The bridge was ___ two years ago.",completed,complete,completing,completion,1,"受動態の過去分詞。completeの過去分詞はcompletedです。"
466,"A: Could you close the window? B: ___",Certainly!,Yes, I do.,No, I don't.,I think so.,1,"依頼への返答。「もちろんです」が丁寧です。"
